,,Sem 1,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 11,Sem 11,Sem 12,Sem 12,Sem 13,Votos recebidos
,,Dia 1,Dia 7,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Dia 74,Dia 77,Dia 84,Dia 85,Final,Votos recebidos
Líder,Líder,(nenhum),Mahmoud,Lucas,Diego,Ana Clara& Ayrton,Ana Clara& Ayrton,Patrícia,JéssicaPaula,Ana Clara& AyrtonGleici,BrenoWagner,Kaysar,Kaysar,Breno,Paula,Kaysar,(nenhum),
Anjo,Anjo,(nenhum),(nenhum),GleiciJaqueline,Mahmoud,Caruso,Diego,Viegas,Wagner,Caruso,Viegas,Wagner,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Imunizado,Imunizado,(nenhum),(nenhum),Jéssica,Gleici,Wagner,Patrícia,Viegas,Viegas,Viegas,Viegas,Gleici,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Veto,Veto,(nenhum),Paula,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Big Fone,Big Fone,(nenhum),(nenhum),(nenhum),Lucas,(nenhum),(nenhum),(nenhum),(nenhum),Diego,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Indicado(Big Fone),Indicado(Big Fone),(nenhum),(nenhum),(nenhum),Ana Clara& Ayrton,(nenhum),(nenhum),(nenhum),(nenhum),Gleici,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Indicado(Líder),Indicado(Líder),(nenhum),Ana PaulaMara,Gleici,Paula,Nayara,Diego,Paula,Caruso,Diego,Kaysar,Wagner,Breno,Kaysar,Kaysar,Paula,(nenhum),
Indicado(Casa),Indicado(Casa),(nenhum),Jéssica,Mahmoud,Ana Paula,GleiciMahmoud,Caruso,GleiciMahmoud,Diego,Jéssica,Caruso,Ana Clara& Ayrton,Viegas,Jéssica,Breno,Ana Clara& Ayrton,(nenhum),
,,,,,,,,,,,,,,,,,,,
,Gleici,Nãoelegível,Diego,Ana Paula,Ana Paula,Diego,Lucas,Diego,Diego,Jéssica,Caruso,Viegas,Viegas,Jéssica,Nãoelegível,Nãoelegível,Vencedora(Dia 88),20
